order_id,tracking,declared_weight,carrier_total,outvio_estimate,factura,servicio,destino,billed_weight,weight_check,billed_portes,importe,scope,zone_or_country,expected_portes,diff,verdict,note,fuel_period,billed_fuel,expected_fuel,fuel_verdict,fuel_diff,cost_diff
ES26018029,4328155,0.53,11.72,8.66,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26018454,4348204,4.41,5.84,3.18,72531,*B2C,COR,6.529,ok,5.19,5.84,national,area_bcn/corto/medio/largo,5.19,0.0,OK,,2026-04-06..2026-04-12,0.4,0.40,OK,0.0,0.0
ES26017540,4276411,7.22,6.08,3.4,72531,*B2C,SEV,7.22,ok,5.64,6.08,national,area_bcn/corto/medio/largo,5.64,0.0,OK,,2026-04-06..2026-04-12,0.44,0.44,OK,0.0,0.0
ES26018657,4372782,,11.33,8.25,72531,CLS,DE,1.5,no-declared,8.9,11.33,international,ALEMANIA,8.90,0.0,OK,,2026-04-13..2026-04-19,1.78,1.78,OK,0.0,0.0
ES26019724,4461125,0.72,11.33,8.25,72531,CLS,DE,1.058,ok,8.9,11.33,international,ALEMANIA,8.90,0.0,OK,,2026-04-13..2026-04-19,1.78,1.78,OK,0.0,0.0
ES26017853,4316105,5.2,8.87,3.18,72531,*B2C,ALM,5.2,ok,4.77,8.87,national,area_bcn/corto/medio/largo,4.77,0.0,OK,,2026-04-06..2026-04-12,0.6,0.60,OK,0.0,0.0
ES26018305,4346235,0.37,11.76,8.66,72531,CLS,IT,1.058,STRAY-HIGH,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.89,1.85,MISMATCH,0.04,0.04
ES26018310,4346258,0.7,11.76,8.66,72531,CLS,IT,1.058,ok,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.89,1.85,MISMATCH,0.04,0.04
ES26018317,4346282,0.63,11.76,8.66,72531,CLS,IT,1.075,ok,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.89,1.85,MISMATCH,0.04,0.04
ES26018320,4346322,0.73,11.76,8.66,72531,CLS,IT,1.058,ok,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.89,1.85,MISMATCH,0.04,0.04
ES26018501,4364786,6.85,5.88,3.18,72531,*B2C,VAL,6.85,ok,5.0,5.88,national,area_bcn/corto/medio/largo,5.00,0.0,OK,,2026-04-13..2026-04-19,0.38,0.38,OK,0.0,0.0
ES26018653,4372721,0.26,11.76,8.66,72531,CLS,IT,1.058,STRAY-HIGH,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-13..2026-04-19,1.89,1.89,OK,0.0,0.0
ES26018787,4398142,0.24,11.76,8.66,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-13..2026-04-19,1.89,1.89,OK,0.0,0.0
ES26018788,4398277,0.46,11.76,8.66,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-13..2026-04-19,1.89,1.89,OK,0.0,0.0
ES26018796,4398728,0.19,11.76,8.66,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-13..2026-04-19,1.89,1.89,OK,0.0,0.0
ES26018839,4400202,,11.76,8.66,72531,CLS,IT,1.129,no-declared,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-13..2026-04-19,1.89,1.89,OK,0.0,0.0
ES26018933,4402788,,11.76,8.66,72531,CLS,IT,1.05,no-declared,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-13..2026-04-19,1.89,1.89,OK,0.0,0.0
