ID del pedido,Seguimiento courier,Fecha de envío,Tarifa base,Peso facturable,Peso original,Contra reembolso (COD),Dimensión,Combustible,Paquetes,Seguro,Zona remota,Corrección de dirección,Derechos de exportación,Otros,Total mensajería,Total original,Fecha de recogida,Fecha de entrega,Días en tránsito,Días en tránsito (SLA),Razón,Sobrecargo total,Total esperado (checker),Sobrecargo (checker),Veredicto (checker),Razón (checker)
ES26019021,4409146,21.05.2026,2.96,10.15,0.1,0,0,0.0,0.0,0,0,0,0,0.0,6.94,2.96,14.04.2026,15.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.98,6.94,0.0,OK,
ES26019038,4411391,21.05.2026,2.96,10.54,0.1,0,0,0.0,0.0,0,0,0,0,0.0,6.94,2.96,14.04.2026,15.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.98,6.94,0.0,OK,
ES26019541,4453092,21.05.2026,3.18,10.4,8.68,0,0,0.0,0.2,0,0,0,0,0.0,8.16,3.38,16.04.2026,17.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.98,8.16,0.0,OK,
ES26016923,4170087,04.01.2026,6.1,10.4,10.4,0,0,0.43,0.0,0,0,0,0,0.0,10.52,6.53,01.04.2026,02.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other,2.99,10.52,0.0,OK,
ES26017717,4301098,04.09.2026,3.18,12.82,4.21,0,0,1.11,0.0,0,0,0,0,0.0,7.72,4.29,09.04.2026,10.04.2026,1,1,Rate; Dimensions; Parcels; Other; ShipmentWeight,2.99,7.72,0.0,OK,Peso
ES26017794,4309923,04.09.2026,2.96,10.15,0.1,0,0,0.0,0.0,0,0,0,0,0.0,6.95,2.96,09.04.2026,10.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.99,6.95,0.0,OK,
ES26018208,4335355,04.10.2026,3.18,11.78,6.85,0,0,0.0,0.2,0,0,0,0,0.0,8.17,3.38,10.04.2026,13.04.2026,3,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.99,8.17,0.0,OK,Peso
ES26020424,4518936,21.05.2026,3.18,10.15,5.5,0,0,0.82,0.0,0,0,0,0,0.0,7.77,4.0,20.04.2026,21.04.2026,1,1,Rate; Dimensions; Parcels; Other; ShipmentWeight,2.99,7.77,0.0,OK,Peso
ES26022555,4742793,21.05.2026,5.97,28.15,10,0,0,1.55,0.3,0,0,0,0,0.0,14.07,7.82,30.04.2026,30.04.2026,1,1,Rate; Dimensions; Parcels; Other; ShipmentWeight,3.06,14.06,0.01,OK,Peso
ES26018786,4398134,21.05.2026,6.9,48.85,29.39,0,0,0.0,0.4,0,0,0,0,0.0,13.97,7.3,14.04.2026,15.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.07,13.97,0.0,OK,Peso
ES26018824,4399796,21.05.2026,6.9,47.33,34.03,0,0,0.0,0.3,0,0,0,0,0.0,13.97,7.2,14.04.2026,15.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.07,13.97,0.0,OK,
ES26019249,4431198,21.05.2026,4.33,14.4,12.61,0,0,0.0,0.2,0,0,0,0,0.0,9.4,4.53,15.04.2026,20.04.2026,5,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.07,9.4,0.0,OK,
ES26018163,4332488,04.10.2026,4.33,13.75,12.62,0,0,0.0,0.2,0,0,0,0,0.0,9.41,4.53,10.04.2026,21.05.2026,0,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.08,9.41,0.0,OK,
ES26018456,4348230,04.11.2026,4.33,11.55,9.68,0,0,0.0,0.2,0,0,0,0,0.0,9.41,4.53,13.04.2026,14.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.08,9.41,0.0,OK,
ES26018114,4330624,04.10.2026,6.9,38.15,33.91,0,0,0.0,0.4,0,0,0,0,0.0,13.99,7.3,10.04.2026,13.04.2026,3,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.09,13.99,0.0,OK,
ES26017858,4316119,04.09.2026,5.58,21.4,21.39,0,0,0.0,0.2,0,0,0,0,0.0,10.69,5.78,09.04.2026,10.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.11,10.69,0.0,OK,
58922-8 20264722014731,8704338,21.05.2026,0.0,1.0,-,0,0,0.0,0.0,0,0,0,0,0.0,3.12,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.12,3.3,-0.18,UNDERCHARGE,Tarifa base
ES26017616,4293971,04.09.2026,12.93,10.61,6.2,0,0,2.52,0.0,0,0,0,0,0.0,20.03,15.45,09.04.2026,14.04.2026,5,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,3.18,20.03,0.0,OK,Peso
26019922,4486070,21.05.2026,0.0,0.02,-,0,0,0.0,0.0,0,0,0,0,0.0,3.18,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.18,3.18,0.0,OK,
26019914,4486071,21.05.2026,0.0,0.01,-,0,0,0.0,0.0,0,0,0,0,0.0,3.18,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.18,3.18,0.0,OK,
ES26017312,4281847,04.08.2026,2.96,10.08,0.1,0,0,1.04,0.0,0,0,0,0,0.0,7.72,4.0,08.04.2026,09.04.2026,1,1,Rate; Dimensions; Parcels; Other; ShipmentWeight,3.21,7.72,0.0,OK,
26020682,4568045,21.05.2026,0.0,0.04,-,0,0,0.0,0.0,0,0,0,0,0.0,3.21,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.21,3.21,0.0,OK,
26020819,4568226,21.05.2026,0.0,0.01,-,0,0,0.0,0.0,0,0,0,0,0.0,3.21,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.21,3.21,0.0,OK,
26021334,4592772,21.05.2026,0.0,0.09,-,0,0,0.0,0.0,0,0,0,0,0.0,3.21,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.21,3.21,0.0,OK,
26021532,4619540,21.05.2026,0.0,0.01,-,0,0,0.0,0.0,0,0,0,0,0.0,3.21,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.21,3.21,0.0,OK,
26022661,4763582,21.05.2026,0.0,0.1,-,0,0,0.0,0.0,0,0,0,0,0.0,3.21,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.21,3.21,0.0,OK,
26022662,4763583,21.05.2026,0.0,0.21,-,0,0,0.0,0.0,0,0,0,0,0.0,3.21,0.0,21.05.2026,21.05.2026,-,-,Additional shipment,3.21,3.21,0.0,OK,
